Ticker,Price,15m_EMA20,15m_EMA50,15m_EMA200,LastVol,AvgVol20,RSI,1h_EMA50,1h_EMA200
CVS,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DRI,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
COST,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DVN,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DVA,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DDOG,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DELL,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DAL,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
STZ,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
CRWD,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
CSGP,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
CMI,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DECK,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
DE,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
CCI,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
CTVA,128.5500030517578,127.43222555186016,126.19858258694877,123.3975352235899,509340,95884.95,74.08270086432432,107.37583870933533,106.8859124713088
IBM,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
HII,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
INTU,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IEX,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IFF,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
HUM,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IBKR,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IP,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
HUBB,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IVZ,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
ITW,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
PODD,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
INCY,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
ISRG,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
ICE,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IR,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IDXX,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
HBAN,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
IPG,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
INTC,235.69000244140625,233.99114999764123,231.31523298815006,228.68493109066046,3922345,1419433.7,74.4975537031298,327.84407643691054,323.93430867911565
SPG,23.454999923706055,23.32660467789701,23.213453692743574,22.73564069031414,1224672,210675.3,65.49930120755104,236.79151979450882,232.8284439271986
SBAC,23.454999923706055,23.32660467789701,23.213453692743574,22.73564069031414,1224672,210675.3,65.49930120755104,236.79151979450882,232.8284439271986
SYY,239.7100067138672,238.16480678939354,236.79151979450882,232.8284439271986,4707945,1202815.35,70.4307087348059,79.82880164623303,78.89148515225264
LUV,23.454999923706055,23.32660467789701,23.213453692743574,22.73564069031414,1224672,210675.3,65.49930120755104,79.82880164623303,78.89148515225264
SW,23.454999923706055,23.32660467789701,23.213453692743574,22.73564069031414,1224672,210675.3,65.49930120755104,79.82880164623303,78.89148515225264
SOLV,23.454999923706055,23.32660467789701,23.213453692743574,22.73564069031414,1224672,210675.3,65.49930120755104,79.82880164623303,78.89148515225264
